id,variable_id,dttm,th,quality_flag_id,device_id
38,1,2021-12-13 00:00:00,5.1782,1,10347320
38,1,2021-12-13 01:00:00,5.1962,1,10347320
38,1,2021-12-13 02:00:00,6.132,2,10347320
38,1,2021-12-13 03:00:00,5.962,2,10347320
38,1,2021-12-13 04:00:00,5.2438,2,10347320
38,1,2021-12-13 05:00:00,4.2228,2,10347320
38,1,2021-12-13 06:00:00,3.1545,2,10347320
38,1,2021-12-13 07:00:00,3.1195,2,10347320
38,1,2021-12-13 08:00:00,2.6943,2,10347320
38,1,2021-12-13 09:00:00,2.4812,2,10347320
38,1,2021-12-13 10:00:00,3.855,2,10347320
38,1,2021-12-13 11:00:00,5.9957,2,10347320
38,1,2021-12-13 12:00:00,6.657,2,10347320
38,1,2021-12-13 13:00:00,7.4475,2,10347320
38,1,2021-12-13 14:00:00,8.182,2,10347320
38,1,2021-12-13 15:00:00,8.5147,2,10347320
38,1,2021-12-13 16:00:00,8.149,2,10347320
38,1,2021-12-13 17:00:00,7.1108,2,10347320
38,1,2021-12-13 18:00:00,5.5682,2,10347320
38,1,2021-12-13 19:00:00,4.5708,2,10347320
38,1,2021-12-13 20:00:00,4.1713,2,10347320
38,1,2021-12-13 21:00:00,3.8745,2,10347320
38,1,2021-12-13 22:00:00,3.208,2,10347320
38,1,2021-12-13 23:00:00,2.6415,2,10347320
38,1,2021-12-14 00:00:00,2.659,2,10347320
38,1,2021-12-14 01:00:00,3.2787,2,10347320
38,1,2021-12-14 02:00:00,2.9428,2,10347320
38,1,2021-12-14 03:00:00,2.8013,2,10347320
38,1,2021-12-14 04:00:00,2.2842,2,10347320
38,1,2021-12-14 05:00:00,1.5113,2,10347320
38,1,2021-12-14 06:00:00,1.8353,2,10347320
38,1,2021-12-14 07:00:00,2.0875,2,10347320
38,1,2021-12-14 08:00:00,2.2848,2,10347320
38,1,2021-12-14 09:00:00,2.8542,2,10347320
38,1,2021-12-14 10:00:00,3.8915,2,10347320
38,1,2021-12-14 11:00:00,5.0698,2,10347320
38,1,2021-12-14 12:00:00,6.3353,2,10347320
38,1,2021-12-14 13:00:00,6.3688,2,10347320
38,1,2021-12-14 14:00:00,6.4368,2,10347320
38,1,2021-12-14 15:00:00,6.2847,2,10347320
38,1,2021-12-14 16:00:00,5.398,2,10347320
38,1,2021-12-14 17:00:00,4.5708,2,10347320
38,1,2021-12-14 18:00:00,4.3972,2,10347320
38,1,2021-12-14 19:00:00,3.6823,2,10347320
38,1,2021-12-14 20:00:00,3.6128,2,10347320
38,1,2021-12-14 21:00:00,3.8755,2,10347320
38,1,2021-12-14 22:00:00,4.0152,2,10347320
38,1,2021-12-14 23:00:00,4.0672,2,10347320
38,1,2021-12-15 00:00:00,4.05,2,10347320
38,1,2021-12-15 01:00:00,4.1545,2,10347320
38,1,2021-12-15 02:00:00,4.2243,2,10347320
38,1,2021-12-15 03:00:00,4.1893,2,10347320
38,1,2021-12-15 04:00:00,4.3803,2,10347320
38,1,2021-12-15 05:00:00,4.3977,2,10347320
38,1,2021-12-15 06:00:00,4.3803,2,10347320
38,1,2021-12-15 07:00:00,4.3977,2,10347320
38,1,2021-12-15 08:00:00,4.3803,2,10347320
38,1,2021-12-15 09:00:00,4.5017,2,10347320
38,1,2021-12-15 10:00:00,4.5017,2,10347320
38,1,2021-12-15 11:00:00,4.8302,2,10347320
38,1,2021-12-15 12:00:00,5.6207,2,10347320
38,1,2021-12-15 13:00:00,5.6205,2,10347320
38,1,2021-12-15 14:00:00,5.689,2,10347320
38,1,2021-12-15 15:00:00,5.7402,2,10347320
38,1,2021-12-15 16:00:00,5.3985,2,10347320
38,1,2021-12-15 17:00:00,5.2097,2,10347320
38,1,2021-12-15 18:00:00,5.2783,2,10347320
38,1,2021-12-15 19:00:00,5.2955,2,10347320
38,1,2021-12-15 20:00:00,5.5522,2,10347320
38,1,2021-12-15 21:00:00,5.4327,2,10347320
38,1,2021-12-15 22:00:00,5.3127,2,10347320
38,1,2021-12-15 23:00:00,5.1407,2,10347320
38,1,2021-12-16 00:00:00,5.1753,2,10347320
38,1,2021-12-16 01:00:00,4.9857,2,10347320
38,1,2021-12-16 02:00:00,4.9683,2,10347320
38,1,2021-12-16 03:00:00,4.8135,2,10347320
38,1,2021-12-16 04:00:00,4.6057,2,10347320
38,1,2021-12-16 05:00:00,4.3977,2,10347320
38,1,2021-12-16 06:00:00,4.3457,2,10347320
38,1,2021-12-16 07:00:00,3.875,2,10347320
38,1,2021-12-16 08:00:00,3.7003,2,10347320
38,1,2021-12-16 09:00:00,3.9975,2,10347320
38,1,2021-12-16 10:00:00,5.1227,2,10347320
38,1,2021-12-16 11:00:00,6.3008,2,10347320
38,1,2021-12-16 12:00:00,7.2463,2,10347320
38,1,2021-12-16 13:00:00,7.028,2,10347320
38,1,2021-12-16 14:00:00,7.0283,2,10347320
38,1,2021-12-16 15:00:00,6.961,2,10347320
38,1,2021-12-16 16:00:00,6.4033,2,10347320
38,1,2021-12-16 17:00:00,5.8595,2,10347320
38,1,2021-12-16 18:00:00,5.1062,2,10347320
38,1,2021-12-16 19:00:00,4.8307,2,10347320
38,1,2021-12-16 20:00:00,4.0493,2,10347320
38,1,2021-12-16 21:00:00,3.2605,2,10347320
38,1,2021-12-16 22:00:00,2.606,2,10347320
38,1,2021-12-16 23:00:00,2.1413,2,10347320
38,1,2021-12-17 00:00:00,1.5655,2,10347320
38,1,2021-12-17 01:00:00,1.0025,2,10347320
38,1,2021-12-17 02:00:00,0.6367,2,10347320
38,1,2021-12-17 03:00:00,0.8932,2,10347320
38,1,2021-12-17 04:00:00,0.9478,2,10347320
38,1,2021-12-17 05:00:00,0.8567,2,10347320
38,1,2021-12-17 06:00:00,0.4347,2,10347320
38,1,2021-12-17 07:00:00,0.0467,2,10347320
38,1,2021-12-17 08:00:00,-0.662,2,10347320
38,1,2021-12-17 09:00:00,-0.065,2,10347320
