"","did","dttm","tavg"
"1",3,2021-12-13 00:00:00,5.054
"2",3,2021-12-13 01:00:00,5.261
"3",3,2021-12-13 02:00:00,5.141
"4",3,2021-12-13 03:00:00,4.934
"5",3,2021-12-13 04:00:00,4.276
"6",3,2021-12-13 05:00:00,3.331
"7",3,2021-12-13 06:00:00,2.996
"8",3,2021-12-13 07:00:00,2.819
"9",3,2021-12-13 08:00:00,2.89
"10",3,2021-12-13 09:00:00,3.296
"11",3,2021-12-13 10:00:00,4.206
"12",3,2021-12-13 11:00:00,6.327
"13",3,2021-12-13 12:00:00,10.846
"14",3,2021-12-13 13:00:00,10.34
"15",3,2021-12-13 14:00:00,9.01
"16",3,2021-12-13 15:00:00,8.099
"17",3,2021-12-13 16:00:00,7.263
"18",3,2021-12-13 17:00:00,5.961
"19",3,2021-12-13 18:00:00,5.123
"20",3,2021-12-13 19:00:00,4.571
"21",3,2021-12-13 20:00:00,3.962
"22",3,2021-12-13 21:00:00,3.437
"23",3,2021-12-13 22:00:00,3.102
"24",3,2021-12-13 23:00:00,2.961
"25",3,2021-12-14 00:00:00,2.677
"26",3,2021-12-14 01:00:00,2.392
"27",3,2021-12-14 02:00:00,2.141
"28",3,2021-12-14 03:00:00,1.836
"29",3,2021-12-14 04:00:00,1.692
"30",3,2021-12-14 05:00:00,1.583
"31",3,2021-12-14 06:00:00,1.944
"32",3,2021-12-14 07:00:00,2.338
"33",3,2021-12-14 08:00:00,2.712
"34",3,2021-12-14 09:00:00,3.19
"35",3,2021-12-14 10:00:00,4.083
"36",3,2021-12-14 11:00:00,6.45
"37",3,2021-12-14 12:00:00,6.2
"38",3,2021-12-14 13:00:00,6.251
"39",3,2021-12-14 14:00:00,5.86
"40",3,2021-12-14 15:00:00,5.261
"41",3,2021-12-14 16:00:00,4.727
"42",3,2021-12-14 17:00:00,4.519
"43",3,2021-12-14 18:00:00,4.015
"44",3,2021-12-14 19:00:00,3.736
"45",3,2021-12-14 20:00:00,3.753
"46",3,2021-12-14 21:00:00,3.56
"47",3,2021-12-14 22:00:00,3.7
"48",3,2021-12-14 23:00:00,3.718
"49",3,2021-12-15 00:00:00,3.91
"50",3,2021-12-15 01:00:00,4.085
"51",3,2021-12-15 02:00:00,3.998
"52",3,2021-12-15 03:00:00,3.893
"53",3,2021-12-15 04:00:00,3.86
"54",3,2021-12-15 05:00:00,3.916
"55",3,2021-12-15 06:00:00,3.962
"56",3,2021-12-15 07:00:00,3.893
"57",3,2021-12-15 08:00:00,3.683
"58",3,2021-12-15 09:00:00,3.928
"59",3,2021-12-15 10:00:00,4.259
"60",3,2021-12-15 11:00:00,4.831
"61",3,2021-12-15 12:00:00,4.986
"62",3,2021-12-15 13:00:00,5.244
"63",3,2021-12-15 14:00:00,5.192
"64",3,2021-12-15 15:00:00,4.968
"65",3,2021-12-15 16:00:00,4.883
"66",3,2021-12-15 17:00:00,4.762
"67",3,2021-12-15 18:00:00,5.043
"68",3,2021-12-15 19:00:00,5.089
"69",3,2021-12-15 20:00:00,4.519
"70",3,2021-12-15 21:00:00,4.259
"71",3,2021-12-15 22:00:00,4.38
"72",3,2021-12-15 23:00:00,4.45
"73",3,2021-12-16 00:00:00,4.189
"74",3,2021-12-16 01:00:00,3.998
"75",3,2021-12-16 02:00:00,4.59
"76",3,2021-12-16 03:00:00,3.771
"77",3,2021-12-16 04:00:00,3.543
"78",3,2021-12-16 05:00:00,3.437
"79",3,2021-12-16 06:00:00,3.137
"80",3,2021-12-16 07:00:00,2.978
"81",3,2021-12-16 08:00:00,3.296
"82",3,2021-12-16 09:00:00,3.665
"83",3,2021-12-16 10:00:00,4.967
"84",3,2021-12-16 11:00:00,6.268
"85",3,2021-12-16 12:00:00,6.42
"86",3,2021-12-16 13:00:00,6.437
"87",3,2021-12-16 14:00:00,6.438
"88",3,2021-12-16 15:00:00,6.217
"89",3,2021-12-16 16:00:00,5.894
"90",3,2021-12-16 17:00:00,5.535
"91",3,2021-12-16 18:00:00,5.347
"92",3,2021-12-16 19:00:00,4.934
"93",3,2021-12-16 20:00:00,3.962
"94",3,2021-12-16 21:00:00,3.279
"95",3,2021-12-16 22:00:00,2.677
"96",3,2021-12-16 23:00:00,2.213
"97",3,2021-12-17 00:00:00,2.034
"98",3,2021-12-17 01:00:00,1.908
"99",3,2021-12-17 02:00:00,1.602
"100",3,2021-12-17 03:00:00,1.276
"101",3,2021-12-17 04:00:00,1.058
"102",3,2021-12-17 05:00:00,0.911
"103",3,2021-12-17 06:00:00,0.434
"104",3,2021-12-17 07:00:00,-0.344
"105",3,2021-12-17 08:00:00,-0.046
"106",3,2021-12-17 09:00:00,0.745
"107",3,2021-12-17 10:00:00,2.889
"108",3,2021-12-17 11:00:00,3.491
"109",3,2021-12-17 12:00:00,7.648
"110",3,2021-12-17 13:00:00,6.64
"111",3,2021-12-17 14:00:00,5.534
"112",3,2021-12-17 15:00:00,4.657
"113",3,2021-12-17 16:00:00,3.595
"114",3,2021-12-17 17:00:00,3.066
"115",3,2021-12-17 18:00:00,2.015
"116",3,2021-12-17 19:00:00,1.203
"117",3,2021-12-17 20:00:00,0.948
"118",3,2021-12-17 21:00:00,0.838
"119",3,2021-12-17 22:00:00,0.875
"120",3,2021-12-17 23:00:00,0.472
"121",3,2021-12-18 00:00:00,0.214
"122",3,2021-12-18 01:00:00,0.434
"123",3,2021-12-18 02:00:00,0.582
"124",3,2021-12-18 03:00:00,0.453
"125",3,2021-12-18 04:00:00,0.618
"126",3,2021-12-18 05:00:00,0.158
"127",3,2021-12-18 06:00:00,0.379
"128",3,2021-12-18 07:00:00,0.858
"129",3,2021-12-18 08:00:00,0.508
"130",3,2021-12-18 09:00:00,0.692
